EEID,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Hire_Date,Annual_Salary,Bonus,Country,City,Exit_Date
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,26-10-2021,"$94,790 ",0%,China,Chongqing,
E03506,Jaxson Mai,Vice President,Human Resources,Research & Development,Male,Asian,48,08-03-2014,"$1,97,367 ",39%,United States,Austin,
E00568,Ava Garza,Director,Accounting,Manufacturing,Female,Latino,27,25-06-2018,"$1,74,097 ",21%,United States,Phoenix,
E00535,Nathan Mendez,Manager,IT,Speciality Products,Male,Latino,53,31-10-2006,"$1,20,128 ",10%,United States,Austin,
E04630,Maria Griffin,Manager,Marketing,Manufacturing,Female,Caucasian,59,25-04-2007,"$1,29,708 ",5%,United States,Miami,
E00874,Alexander Choi,Manager,Marketing,Research & Development,Male,Asian,55,18-09-1994,"$1,02,270 ",10%,United States,Chicago,
E01546,Maria Hong,Vice President,Finance,Speciality Products,Female,Asian,43,31-07-2005,"$2,49,686 ",31%,China,Chongqing,
E00941,Sophie Ali,Analyst,Finance,Manufacturing,Female,Asian,55,28-03-2002,"$50,475 ",0%,United States,Columbus,
E03446,Julian Ross,Manager,Marketing,Research & Development,Male,Caucasian,51,02-07-2020,"$1,00,099 ",8%,United States,Miami,
E01361,Emma Hill,IT Coordinator,IT,Manufacturing,Female,Caucasian,54,27-12-2016,"$41,673 ",0%,United States,Miami,
E01631,Leilani Yee,Sr. Analyst,Marketing,Speciality Products,Female,Asian,47,12-07-2017,"$70,996 ",0%,China,Chengdu,
E03719,Jack Brown,Analyst,Marketing,Corporate,Male,Caucasian,55,07-12-2004,"$40,752 ",0%,United States,Phoenix,
E03269,Charlotte Chu,Network Engineer,IT,Manufacturing,Female,Asian,50,23-01-2001,"$97,537 ",0%,China,Chengdu,
E01037,Jeremiah Chu,IT Systems Architect,IT,Research & Development,Male,Asian,31,12-09-2020,"$96,567 ",0%,China,Shanghai,
E00671,Miles Cho,Systems Analyst,IT,Speciality Products,Male,Asian,47,10-03-1999,"$49,404 ",0%,China,Beijing,
E02216,Caleb Marquez,IT Systems Architect,IT,Research & Development,Male,Latino,29,15-10-2019,"$66,819 ",0%,Brazil,Rio de Janerio,
E02803,Eli Soto,Analyst,Marketing,Speciality Products,Male,Latino,38,02-05-2016,"$50,784 ",0%,Brazil,Rio de Janerio,
E01584,Carter Mejia,Sr. Manger,Human Resources,Research & Development,Male,Latino,29,09-05-2019,"$1,25,828 ",15%,Brazil,Sao Paulo,
E02489,Ethan Clark,Sr. Business Partner,Human Resources,Manufacturing,Male,Caucasian,33,04-08-2017,"$92,610 ",0%,United States,Columbus,
E03189,Asher Jackson,Sr. Manger,Sales,Speciality Products,Male,Caucasian,50,25-03-2003,"$1,23,405 ",13%,United States,Columbus,
E03560,Ayla Ng,Account Representative,Sales,Manufacturing,Female,Asian,46,20-03-2004,"$73,004 ",0%,China,Beijing,
E00769,Jose Kang,Engineering Manager,Engineering,Corporate,Male,Asian,57,25-04-1999,"$95,061 ",10%,China,Shanghai,
E02791,Aubrey Romero,Director,Sales,Corporate,Female,Latino,49,02-04-1998,"$1,60,832 ",30%,United States,Phoenix,
E02333,Jaxson Wright,Service Desk Analyst,IT,Manufacturing,Male,Black,54,28-12-2010,"$64,417 ",0%,United States,Columbus,
E01002,Elias Ali,Manager,Sales,Corporate,Male,Asian,28,19-03-2021,"$1,27,543 ",6%,China,Shanghai,
E03520,Nolan Pena,Analyst,Marketing,Manufacturing,Male,Latino,30,21-06-2018,"$56,154 ",0%,Brazil,Sao Paulo,
E00752,Luna Liu,Vice President,Sales,Manufacturing,Female,Asian,36,22-02-2014,"$2,18,530 ",30%,China,Shanghai,
E00233,Brooklyn Reyes,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,19-12-2019,"$91,954 ",0%,United States,Columbus,
E02639,Hadley Parker,Vice President,Marketing,Corporate,Female,Black,30,21-09-2016,"$2,21,217 ",32%,United States,Columbus,25-09-2017
E00697,Jonathan Chavez,System Administrator ,IT,Manufacturing,Male,Latino,29,11-05-2017,"$87,536 ",0%,United States,Seattle,
E02183,Sarah Ayala,Analyst,Sales,Corporate,Female,Latino,47,09-06-2015,"$41,429 ",0%,United States,Seattle,
E00715,Elijah Kang,Vice President,Engineering,Manufacturing,Male,Asian,35,10-10-2011,"$2,45,482 ",39%,United States,Seattle,
E04288,Ella White,Development Engineer,Engineering,Manufacturing,Female,Caucasian,25,20-01-2020,"$71,359 ",0%,United States,Phoenix,
E02421,Jordan Truong,Director,Engineering,Speciality Products,Male,Asian,45,28-08-2014,"$1,83,161 ",22%,United States,Miami,
